# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
0 -0.167328 0.0583344 -0.754246 -0.632227 0.231348 -2.39815 1.96733 0 00000000.png

1 -0.170297 0.0587233 -0.754011 -0.631678 0.236621 -2.39898 1.96868 1 00000000.png

2 -0.173264 0.0591116 -0.753769 -0.631124 0.241884 -2.39991 1.97017 2 00000000.png

3 -0.176229 0.0594994 -0.75352 -0.630563 0.247135 -2.40093 1.97181 3 00000000.png

4 -0.179193 0.0598867 -0.753264 -0.629997 0.252373 -2.40204 1.97359 4 00000000.png

5 -0.182155 0.0602734 -0.753001 -0.629425 0.257594 -2.40325 1.97552 5 00000000.png

6 -0.185115 0.0606595 -0.752731 -0.628847 0.262799 -2.40456 1.9776 6 00000000.png

7 -0.188074 0.0610451 -0.752454 -0.628263 0.267985 -2.40595 1.97983 7 00000000.png

8 -0.191031 0.0614301 -0.75217 -0.627674 0.273149 -2.40744 1.9822 8 00000000.png

9 -0.193986 0.0618145 -0.751879 -0.627078 0.278289 -2.40903 1.98471 9 00000000.png

10 -0.196939 0.0621984 -0.75158 -0.626477 0.283404 -2.41071 1.98738 10 00000000.png

11 -0.19989 0.0625816 -0.751275 -0.62587 0.288493 -2.41248 1.99019 11 00000000.png

12 -0.20284 0.0629643 -0.750963 -0.625257 0.293552 -2.41434 1.99314 12 00000000.png

13 -0.205788 0.0633464 -0.750644 -0.624638 0.29858 -2.4163 1.99624 13 00000000.png

14 -0.208734 0.0637279 -0.750318 -0.624013 0.303576 -2.41835 1.99949 14 00000000.png

15 -0.211677 0.0641088 -0.749985 -0.623383 0.308537 -2.4205 2.00288 15 00000000.png

16 -0.214619 0.0644892 -0.749644 -0.622746 0.313461 -2.42273 2.00642 16 00000000.png

17 -0.217559 0.0648689 -0.749297 -0.622104 0.318346 -2.42506 2.0101 17 00000000.png

18 -0.220497 0.065248 -0.748943 -0.621456 0.323191 -2.42747 2.01393 18 00000000.png

